Time (Secs)	CHAN1	CHAN2
-1	-1.25	-0.3375
-0.998	-1.40625	-0.35625
-0.996	-1.40625	-0.321875
-0.994	-1.5625	-0.34375
-0.992	-1.5625	-0.31875
-0.99	-1.5625	-0.321875
-0.988	-1.5625	-0.315625
-0.986	-1.71875	-0.334375
-0.984	-1.71875	-0.3375
-0.982	-1.71875	-0.353125
-0.98	-1.71875	-0.325
-0.978	-1.875	-0.34375
-0.976	-1.875	-0.321875
-0.974	-1.875	-0.325
-0.972	-1.875	-0.315625
-0.97	-2.03125	-0.328125
-0.968	-1.875	-0.328125
-0.966	-2.03125	-0.353125
-0.964	-2.03125	-0.328125
-0.962	-2.1875	-0.353125
-0.96	-2.1875	-0.31875
-0.958	-2.1875	-0.328125
-0.956	-2.1875	-0.31875
-0.954	-2.1875	-0.325
-0.952	-2.34375	-0.321875
-0.95	-2.5	-0.359375
-0.948	-2.5	-0.34375
-0.946	-2.5	-0.359375
-0.944	-2.5	-0.33125
-0.942	-2.5	-0.340625
-0.94	-2.5	-0.328125
-0.938	-2.65625	-0.334375
-0.936	-2.65625	-0.33125
-0.934	-2.65625	-0.371875
-0.932	-2.65625	-0.35625
-0.93	-2.8125	-0.371875
-0.928	-2.8125	-0.3375
-0.926	-2.8125	-0.353125
-0.924	-2.8125	-0.3375
-0.922	-2.96875	-0.34375
-0.92	-2.96875	-0.334375
-0.918	-3.125	-0.36875
-0.916	-2.96875	-0.3625
-0.914	-3.125	-0.378125
-0.912	-3.125	-0.34375
-0.91	-3.125	-0.359375
-0.908	-3.125	-0.340625
-0.906	-3.28125	-0.35
-0.904	-3.28125	-0.340625
-0.902	-3.4375	-0.3625
-0.9	-3.28125	-0.365625
-0.898	-3.4375	-0.378125
-0.896	-3.28125	-0.346875
-0.894	-3.4375	-0.36875
-0.892	-3.4375	-0.346875
-0.89	-3.59375	-0.353125
-0.888	-3.59375	-0.346875
-0.886	-3.75	-0.35625
-0.884	-3.59375	-0.3625
-0.882	-3.75	-0.38125
-0.88	-3.75	-0.35625
-0.878	-3.75	-0.375
-0.876	-3.75	-0.35
-0.874	-4.0625	-0.35625
-0.872	-4.0625	-0.35
-0.87	-4.0625	-0.35625
-0.868	-3.90625	-0.359375
-0.866	-4.21875	-0.390625
-0.864	-4.21875	-0.365625
-0.862	-4.21875	-0.384375
-0.86	-4.21875	-0.359375
-0.858	-4.21875	-0.3625
-0.856	-4.21875	-0.35625
-0.854	-4.375	-0.359375
-0.852	-4.375	-0.359375
-0.85	-4.375	-0.3875
-0.848	-4.375	-0.375
-0.846	-4.53125	-0.3875
-0.844	-4.53125	-0.35625
-0.842	-4.53125	-0.371875
-0.84	-4.53125	-0.359375
-0.838	-4.6875	-0.3625
-0.836	-4.53125	-0.3625
-0.834	-4.6875	-0.3875
-0.832	-4.6875	-0.378125
-0.83	-4.84375	-0.390625
-0.828	-4.84375	-0.365625
-0.826	-4.84375	-0.378125
-0.824	-4.84375	-0.3625
-0.822	-5	-0.365625
-0.82	-5	-0.3625
-0.818	-5.15625	-0.3875
-0.816	-5.15625	-0.38125
-0.814	-5.15625	-0.390625
-0.812	-5.15625	-0.36875
-0.81	-5.3125	-0.378125
-0.808	-5.15625	-0.365625
-0.806	-5.3125	-0.371875
-0.804	-5.3125	-0.3625
-0.802	-5.46875	-0.384375
-0.8	-5.3125	-0.390625
-0.798	-5.46875	-0.396875
-0.796	-5.46875	-0.36875
-0.794	-5.46875	-0.39375
-0.792	-5.46875	-0.36875
-0.79	-5.625	-0.371875
-0.788	-5.625	-0.371875
-0.786	-5.625	-0.38125
-0.784	-5.625	-0.3875
-0.782	-5.78125	-0.4
-0.78	-5.78125	-0.375
-0.778	-5.78125	-0.390625
-0.776	-5.78125	-0.36875
-0.774	-5.9375	-0.378125
-0.772	-5.9375	-0.36875
-0.77	-6.09375	-0.378125
-0.768	-6.09375	-0.38125
-0.766	-6.09375	-0.40625
-0.764	-6.09375	-0.38125
-0.762	-6.09375	-0.403125
-0.76	-6.09375	-0.378125
-0.758	-6.25	-0.38125
-0.756	-6.25	-0.375
-0.754	-6.40625	-0.378125
-0.752	-6.40625	-0.378125
-0.75	-6.40625	-0.40625
-0.748	-6.40625	-0.390625
-0.746	-6.40625	-0.409375
-0.744	-6.5625	-0.38125
-0.742	-6.5625	-0.390625
-0.74	-6.5625	-0.378125
-0.738	-6.71875	-0.384375
-0.736	-6.71875	-0.378125
-0.734	-6.71875	-0.409375
-0.732	-6.71875	-0.396875
-0.73	-6.71875	-0.415625
-0.728	-6.71875	-0.3875
-0.726	-6.875	-0.396875
-0.724	-6.875	-0.38125
-0.722	-7.03125	-0.390625
-0.72	-6.875	-0.38125
-0.718	-7.03125	-0.4125
-0.716	-7.03125	-0.40625
-0.714	-7.1875	-0.41875
-0.712	-7.03125	-0.3875
-0.71	-7.1875	-0.403125
-0.708	-7.1875	-0.384375
-0.706	-7.34375	-0.390625
-0.704	-7.1875	-0.384375
-0.702	-7.34375	-0.40625
-0.7	-7.34375	-0.415625
-0.698	-7.5	-0.425
-0.696	-7.34375	-0.39375
-0.694	-7.5	-0.415625
-0.692	-7.5	-0.39375
-0.69	-7.65625	-0.396875
-0.688	-7.65625	-0.39375
-0.686	-7.65625	-0.40625
-0.684	-7.65625	-0.409375
-0.682	-7.8125	-0.43125
-0.68	-7.8125	-0.403125
-0.678	-7.8125	-0.425
-0.676	-7.8125	-0.403125
-0.674	-7.96875	-0.409375
-0.672	-7.96875	-0.396875
-0.67	-7.96875	-0.40625
-0.668	-7.96875	-0.409375
-0.666	-8.125	-0.43125
-0.664	-8.125	-0.415625
-0.662	-8.125	-0.43125
-0.66	-8.28125	-0.409375
-0.658	-8.28125	-0.4125
-0.656	-8.28125	-0.40625
-0.654	-8.28125	-0.4125
-0.652	-8.28125	-0.409375
-0.65	-8.4375	-0.440625
-0.648	-8.4375	-0.41875
-0.646	-8.59375	-0.44375
-0.644	-8.59375	-0.4125
-0.642	-8.59375	-0.41875
-0.64	-8.59375	-0.4125
-0.638	-8.59375	-0.415625
-0.636	-8.59375	-0.4125
-0.634	-8.75	-0.45
-0.632	-8.75	-0.43125
